Responder_id,LanguagesWorkedWith
1,HTML/CSS;Java;JavaScript;Python
2,C++;HTML/CSS;Python
3,HTML/CSS
4,C;C++;C#;Python;SQL
5,C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
6,Java;R;SQL
7,HTML/CSS;JavaScript
8,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
9,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):
10,C#;Go;JavaScript;Python;R;SQL
11,Other(s):
12,Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL
13,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
14,C++
15,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
16,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA
17,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
18,Python;R
19,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
21,Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
22,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
23,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL
24,HTML/CSS;JavaScript;PHP;TypeScript
25,HTML/CSS;JavaScript;PHP;SQL;TypeScript
26,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
27,C++;JavaScript;Python;Ruby;SQL;TypeScript
28,JavaScript;TypeScript
29,Bash/Shell/PowerShell;JavaScript;SQL
31,Python
32,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python
33,C++;Python;R
34,HTML/CSS;JavaScript
35,HTML/CSS;JavaScript
